Index of Gen, I#1: Max Value of Gen, I#1: Average Value, I#1: Standard Deviation of Value, I#1: Max nb of items / bag, I#1: Avg nb of items,I#1: Standard Deviation nb of items, I#2: Max Value of Gen, I#2: Average Value, I#2: Standard Deviation of Value, I#2: Max nb of items / bag, I#2: Avg nb of items,I#2: Standard Deviation nb of items, 
0,889.663,537.673,8959.7,16,9.57,-82.0149,937.443,567.679,14911.5,15,10.06,-91.1436,
1,889.663,786.655,1538.01,16,12.27,-138.283,1001.97,853.423,1386.39,15,12.13,-135.007,
2,1079.96,1000.36,601.437,15,13.09,-158.258,1147.82,1033.13,655.469,15,13.05,-157.253,
3,1221.03,1140.78,421.927,16,13.76,-175.578,1218.59,1161.81,272.691,15,13.68,-173.462,
4,1293.31,1234.37,157.08,16,14.53,-196.591,1256.16,1215.49,122.635,15,14,-182,
5,1409.37,1342.31,402.393,17,15.44,-222.954,1338.25,1282.86,677.313,16,14.56,-197.434,
6,1506.78,1460.75,129.276,18,16,-240,1387.27,1349.68,126.57,17,14.83,-205.099,
7,1585.03,1549.74,289.929,18,16.84,-266.746,1457.62,1394.01,394.878,18,15.67,-229.879,
8,1610.9,1596.74,48.4417,19,17.73,-296.623,1524.39,1462.54,304.988,18,16.3,-249.39,
9,1714.42,1661.96,224.117,20,18.53,-324.831,1543.9,1509.44,126.052,19,16.62,-259.604,
10,1744.91,1719.34,86.4612,21,19.31,-353.566,1586.62,1536.4,150.963,19,16.94,-270.024,
11,1844.44,1780.05,191.889,22,19.74,-369.928,1634.56,1583.74,289.55,19,17.67,-294.559,
12,1916.04,1847.79,310.346,22,20.83,-413.059,1733.9,1654.69,332.565,20,18,-306,
13,1971.19,1936.93,247.663,23,21.6,-444.96,1736.97,1712.28,92.2858,21,18.65,-329.172,
14,2054.89,2008.56,163.962,24,22.23,-471.943,1840.1,1768.13,681.742,22,19.46,-359.232,
15,2120.04,2088.76,142.042,24,22.81,-497.486,1859.48,1841.44,38.6332,22,19.83,-373.399,
16,2218.22,2154.55,264.472,25,23.79,-542.174,1954.97,1900.17,597.601,23,20.74,-409.408,
17,2219.67,2204.73,61.4479,26,24.06,-554.824,2008.71,1948.47,248.909,22,20.81,-412.246,
18,2329.72,2267.12,157.265,27,24.85,-592.673,2029.34,1974.78,326.086,23,21.53,-442.011,
19,2335.98,2318.47,102.58,27,25.81,-640.346,2031.12,1991.88,91.094,23,21.63,-446.227,
20,2383.47,2350.39,176.524,28,26.58,-679.916,2087,2021.78,320.212,23,21.75,-451.312,
21,2464.04,2389.24,313.27,29,26.82,-692.492,2126.43,2052.95,613.513,24,22.1,-466.31,
22,2464.04,2438.73,122.846,29,26.93,-698.295,2126.43,2100.58,120.335,24,22.47,-482.431,
23,2511.25,2474.24,122.516,29,27.22,-713.708,2176.63,2120.85,379.721,24,22.75,-494.812,
24,2567.51,2519.61,145.143,29,27.73,-741.223,2203.05,2142.24,537.68,25,23.12,-511.414,
25,2599.91,2563.48,167.621,30,28.03,-757.651,2213.09,2175.96,57.873,25,23.54,-530.592,
26,2624.44,2606.29,68.3706,30,28.56,-787.114,2249.72,2203.4,395.143,26,24,-552,
27,2656.86,2629.53,282.714,31,29.15,-820.572,2249.72,2230.03,116.969,26,24.53,-577.191,
28,2696.35,2659.47,47.7735,31,29.87,-862.347,2288.05,2249.44,75.4582,26,24.66,-583.456,
29,2733.92,2675.31,188.879,32,30.13,-877.687,2307.97,2279.04,167.775,27,25.04,-601.962,
30,2762.59,2735.06,111.779,32,30.83,-919.659,2319.72,2296.62,76.8727,27,25.3,-614.79,
31,2818.98,2768.26,145.184,33,30.91,-924.518,2347.17,2310.99,118.921,27,25.59,-629.258,
32,2818.98,2800.47,192.454,33,30.76,-915.418,2388.17,2356.54,126.188,28,25.63,-631.267,
33,2879.5,2833.36,90.453,33,31.84,-981.946,2438.24,2401.66,315.612,28,26.24,-662.298,
34,2955.62,2875.39,169.386,33,31.85,-982.573,2527.36,2449.77,425.225,28,26.8,-691.44,
35,2951.66,2907.82,237.71,34,32.3,-1010.99,2558.9,2515.14,233.47,29,27.59,-733.618,
36,2971.16,2941.03,88.8784,34,32.73,-1038.52,2567.85,2543.87,49.4272,29,27.65,-736.872,
37,3044.62,2975.64,237.024,35,32.88,-1048.21,2584.58,2564.75,37.3911,30,27.6,-734.16,
38,3085.39,3033.3,583.587,35,33.82,-1109.97,2616.9,2574.22,169.973,29,27.73,-741.223,
39,3140,3099.53,292.839,36,34.4,-1148.96,2621.2,2593.28,148.125,30,28.11,-762.062,
40,3169.41,3141.19,37.8128,37,34.8,-1176.24,2669.23,2624.7,166.35,30,28.73,-796.683,
41,3199,3155.26,115.73,38,35.15,-1200.37,2718.67,2664.49,203.087,31,28.96,-809.722,
42,3230.39,3208.45,17.4775,38,35.97,-1257.87,2746.25,2698.73,244.852,31,29.51,-841.33,
43,3246.72,3230.79,-0.78446,38,36.61,-1303.68,2803.86,2735.28,296.819,32,29.82,-859.412,
44,3246.72,3233.75,25.0948,38,36.78,-1315.99,2824.28,2793.16,305.02,32,30.5,-899.75,
45,3290.83,3256.44,279.647,38,36.86,-1321.8,2863.49,2821.93,44.5188,32,30.64,-908.17,
46,3319.74,3291.11,1.76299,38,36.73,-1312.36,2856.25,2838.19,35.8723,33,30.81,-918.446,
47,3339.29,3291.97,28.6083,39,36.74,-1313.09,2891.3,2864.06,149.308,33,30.81,-918.446,
48,3379.16,3293.3,114.085,39,36.92,-1326.17,2899.92,2886.16,58.0098,33,31.73,-975.063,
49,3334.84,3300.39,26.6648,39,36.9,-1324.71,2969.32,2926.83,358.276,34,32.37,-1015.45,
50,3375.2,3331.65,161.78,39,37.36,-1358.41,3011.01,2976.05,105.451,34,32.66,-1034.02,
51,3418.31,3375.57,292.714,40,37.92,-1400.01,3032.67,3005.6,91.2475,35,32.73,-1038.52,
52,3443.01,3435.03,35.8885,40,38.86,-1471.24,3071.92,3019.36,184.902,35,33.14,-1065.12,
53,3482.74,3477.14,8.14566,41,39.93,-1554.47,3094.47,3073.25,206.431,35,33.67,-1100,
54,3549.55,3532.77,181.889,42,40.84,-1627.07,3162.76,3096.73,351.747,36,33.63,-1097.35,
55,3592.64,3567.28,168.549,43,41.28,-1662.76,3103.01,3092.78,25.2005,35,33.57,-1093.37,
56,3615.01,3593.22,-5.79388,43,41.89,-1712.88,3161.38,3108.43,275.127,36,33.9,-1115.31,
57,3655.05,3600.86,163.003,44,42.24,-1741.98,3200.56,3155,425.297,36,34.54,-1158.47,
58,3663.7,3626.83,255.69,44,41.86,-1710.4,3273.17,3199.27,565.283,37,34.8,-1176.24,
59,3723.43,3667.45,125.6,44,42.17,-1736.14,3288.36,3271.89,44.3356,37,35.59,-1231.06,
60,3764.52,3736.4,78.228,44,42.88,-1795.81,3288.36,3279.99,12.6484,37,35.62,-1233.16,
61,3771.83,3759.56,18.3444,44,42.87,-1794.97,3339.7,3289.76,123.078,38,35.62,-1233.16,
62,3774.11,3765.97,21.4071,44,42.76,-1785.66,3384.47,3317.22,634.511,38,36.18,-1272.81,
63,3809.82,3781.09,176.286,45,42.99,-1805.15,3395.41,3360.95,111.99,38,36.61,-1303.68,
64,3809.82,3809.82,23.4441,45,43.79,-1873.77,3437.54,3395.47,102.125,38,36.82,-1318.89,
65,3883.73,3813.1,113.165,45,43.81,-1875.51,3438.21,3407.03,133.343,39,36.9,-1324.71,
