Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
0,0.292535,0.500415,0.514458,0.567466,0.684393,0.454701,
1,0.317065,0.485678,0.554014,0.603015,0.753018,0.560057,
2,0.313505,0.478316,0.602959,0.63313,0.852177,0.61843,
3,0.317819,0.490674,0.60921,0.59345,0.902148,0.574614,
4,0.32061,0.504416,0.558234,0.597273,0.905263,0.579519,
5,0.323208,0.513403,0.524461,0.572171,0.898819,0.55365,
6,0.326544,0.539101,0.421105,0.525724,0.885881,0.509326,
7,0.332076,0.538275,0.421522,0.555514,0.894125,0.536376,
8,0.336839,0.537528,0.421307,0.566817,0.89697,0.544732,
9,0.342025,0.539812,0.42251,0.417629,0.86024,0.407624,
10,0.342084,0.540017,0.422765,0.414472,0.857501,0.403062,
11,0.342278,0.541062,0.422202,0.420162,0.857401,0.407886,
12,0.346169,0.545732,0.42238,0.414264,0.854354,0.40458,
13,0.341634,0.5391,0.424281,0.421039,0.847592,0.401886,
14,0.33637,0.531983,0.424123,0.420537,0.846456,0.401949,
15,0.336554,0.52742,0.421904,0.420004,0.84614,0.401159,
16,0.339924,0.519067,0.422305,0.42171,0.851228,0.406029,
17,0.334203,0.519108,0.423364,0.423872,0.847045,0.398987,
18,0.338468,0.509584,0.421504,0.427252,0.849213,0.402584,
19,0.337018,0.510876,0.425145,0.424056,0.846602,0.402192,
20,0.335463,0.504033,0.421832,0.426889,0.846643,0.403776,
21,0.328028,0.505046,0.422585,0.428731,0.844452,0.405031,
22,0.328793,0.504783,0.422961,0.428108,0.8478,0.404724,
23,0.329878,0.503927,0.422391,0.428226,0.847336,0.405468,
24,0.326488,0.50442,0.424311,0.427623,0.842588,0.404908,
25,0.326053,0.505378,0.423159,0.42573,0.848497,0.405593,
26,0.329989,0.505055,0.421051,0.424933,0.846528,0.409487,
27,0.332422,0.505518,0.418125,0.427408,0.843287,0.407016,
28,0.322807,0.502596,0.427968,0.427255,0.842283,0.407328,
29,0.32579,0.504992,0.425395,0.42563,0.842071,0.407288,
30,0.333055,0.505732,0.424457,0.42676,0.845685,0.407004,
31,0.336877,0.506102,0.409099,0.427491,0.842103,0.404082,
32,0.308644,0.502105,0.427568,0.427643,0.844259,0.404358,
33,0.306661,0.501098,0.428578,0.427641,0.844351,0.399931,
34,0.30719,0.499752,0.426232,0.429458,0.844372,0.402029,
35,0.307148,0.497976,0.42682,0.424961,0.845137,0.405017,
36,0.307226,0.501331,0.427024,0.422016,0.844757,0.407319,
37,0.308332,0.496414,0.426333,0.416761,0.84929,0.416043,
38,0.307377,0.500767,0.427516,0.416713,0.84858,0.414147,
39,0.302656,0.505068,0.428038,0.417144,0.845646,0.414494,
40,0.294373,0.505672,0.429672,0.416836,0.844133,0.413016,
41,0.31718,0.50607,0.431689,0.413759,0.846792,0.411772,
42,0.321589,0.505644,0.428744,0.413637,0.847749,0.407028,
43,0.291788,0.50319,0.440005,0.421834,0.845564,0.40095,
