Index of Gen, I#1: Average Value of Gen, I#2: Average Value of Gen, 
0,537.673,567.679,
1,786.655,853.423,
2,1000.36,1033.13,
3,1140.78,1161.81,
4,1234.37,1215.49,
5,1342.31,1282.86,
6,1460.75,1349.68,
7,1549.74,1394.01,
8,1596.74,1462.54,
9,1661.96,1509.44,
10,1719.34,1536.4,
11,1780.05,1583.74,
12,1847.79,1654.69,
13,1936.93,1712.28,
14,2008.56,1768.13,
15,2088.76,1841.44,
16,2154.55,1900.17,
17,2204.73,1948.47,
18,2267.12,1974.78,
19,2318.47,1991.88,
20,2350.39,2021.78,
21,2389.24,2052.95,
22,2438.73,2100.58,
23,2474.24,2120.85,
24,2519.61,2142.24,
25,2563.48,2175.96,
26,2606.29,2203.4,
27,2629.53,2230.03,
28,2659.47,2249.44,
29,2675.31,2279.04,
30,2735.06,2296.62,
31,2768.26,2310.99,
32,2800.47,2356.54,
33,2833.36,2401.66,
34,2875.39,2449.77,
35,2907.82,2515.14,
36,2941.03,2543.87,
37,2975.64,2564.75,
38,3033.3,2574.22,
39,3099.53,2593.28,
40,3141.19,2624.7,
41,3155.26,2664.49,
42,3208.45,2698.73,
43,3230.79,2735.28,
44,3233.75,2793.16,
45,3256.44,2821.93,
46,3291.11,2838.19,
47,3291.97,2864.06,
48,3293.3,2886.16,
49,3300.39,2926.83,
50,3331.65,2976.05,
51,3375.57,3005.6,
52,3435.03,3019.36,
53,3477.14,3073.25,
54,3532.77,3096.73,
55,3567.28,3092.78,
56,3593.22,3108.43,
57,3600.86,3155,
58,3626.83,3199.27,
59,3667.45,3271.89,
60,3736.4,3279.99,
61,3759.56,3289.76,
62,3765.97,3317.22,
63,3781.09,3360.95,
64,3809.82,3395.47,
65,3813.1,3407.03,
66,3831.41,3418.66,
67,3860.57,3450.78,
68,3872.28,3471.07,
69,3895.7,3485.94,
70,3941.33,3496.74,
71,3945.61,3511.35,
72,4006.58,3528.25,
73,4049.29,3532.63,
74,4087.19,3549.98,
75,4124.22,3586.7,
76,4131.93,3611.37,
77,4134.06,3633.46,
78,4138.87,3667.49,
79,4165.15,3698.7,
80,4195.81,3737.6,
81,4206.9,3784.6,
82,4227.92,3837.43,
83,4254.77,3887.26,
84,4297.04,3921.57,
85,4341.83,3938.75,
86,4377.8,3949.65,
87,4395.29,3980.37,
88,4445.43,4012.39,
89,4494.56,4024.41,
90,4506.84,4064.97,
91,4509.1,4079.19,
92,4523.72,4101.95,
93,4523.72,4118.65,
94,4528.79,4144.36,
95,4529.27,4175.35,
