Index of Gen, I#1: Max Value of Gen, I#1: Average Value, I#1: Standard Deviation of Value, I#2: Max Value of Gen, I#2: Average Value, I#2: Standard Deviation of Value, I#3: Max Value of Gen, I#3: Average Value, I#3: Standard Deviation of Value, I#4: Max Value of Gen, I#4: Average Value, I#4: Standard Deviation of Value, I#5: Max Value of Gen, I#5: Average Value, I#5: Standard Deviation of Value, I#6: Max Value of Gen, I#6: Average Value, I#6: Standard Deviation of Value, I#7: Max Value of Gen, I#7: Average Value, I#7: Standard Deviation of Value, I#8: Max Value of Gen, I#8: Average Value, I#8: Standard Deviation of Value, 
0,889.663,537.673,8959.7,796.522,536.306,9714.67,699.589,488.131,6265.07,854.384,543.15,6792.53,941.415,533.408,10007.3,801.145,473.807,11838.7,840.389,562.85,7396.21,800.548,526.796,11247.9,
1,915.723,785.796,1181.55,934.352,811.669,1266.36,838.876,741.044,969.802,854.384,740.032,608.075,921.706,788.62,1429.97,945.998,788.426,1492.32,907.017,806.395,919.947,951.167,818.572,1510.51,
2,1059.02,978.888,659.231,1073.27,1002.48,546.89,947.518,884.472,387.041,935.27,869.885,276.589,941.094,902.264,167.007,1033.31,972.326,478.659,1049.67,990.337,433.543,1075.52,988.421,526.382,
3,1232.21,1151.96,374.124,1196.03,1123.96,423.835,1015.15,975.096,289.995,1142.98,1024.85,781.897,1058.94,1001.85,221.075,1191.34,1143.97,245.985,1229.56,1147.17,502.259,1186.85,1129.38,272.477,
4,1323.62,1274.64,150.323,1313.99,1238.31,567.312,1135.61,1072.61,241.576,1221.57,1158.78,347.186,1219.42,1128.62,484.538,1283.79,1283.04,0.42264,1316.96,1262.58,196.89,1285.05,1233.33,155.037,
5,1381.71,1342.17,130.147,1407.4,1369.46,129.753,1225.56,1160.12,188.375,1325.19,1248.56,274.605,1303.24,1249.74,242.813,1368.04,1367.18,0.246008,1400.29,1356.97,178.067,1409.44,1360.11,229.374,
6,1438.02,1419.85,124.918,1505.65,1437.56,271.438,1332.51,1265.04,289.2,1402.48,1339.23,272.732,1365.22,1321,166.89,1462.77,1462.53,-4.37303,1529.59,1449.28,272.867,1500.48,1470.37,287.686,
7,1556.52,1512.45,228.891,1591.01,1530.37,235.972,1378.25,1348.52,133.762,1460.22,1419.78,151.119,1496.04,1412.3,338.969,1555.64,1553.49,37.6002,1589.23,1536.25,248.189,1601.83,1548.53,203.541,
8,1606.82,1595.93,52.3489,1626.24,1596.75,159.531,1482.09,1422.65,270.577,1546.43,1505.95,273.877,1530.52,1496,133.5,1569.15,1567.26,19.9492,1661.14,1624.1,156.303,1750.35,1661.13,437.412,
9,1764.89,1684.13,299.137,1694.3,1652.07,253.769,1534.97,1515.06,99.9222,1604.98,1562.15,200.365,1646.53,1580.29,261.189,1628.43,1620.85,282.837,1752.42,1690.3,439.805,1814.78,1776.1,141.361,
10,1830.21,1782.03,262.027,1762.72,1710.96,373.281,1670.7,1611.79,219.402,1695.21,1634.28,384.41,1690.18,1668.37,48.9667,1674.19,1674.19,4.37747,1800.59,1768.01,107.724,1876.25,1826.49,221.775,
11,1888.29,1843.14,168.087,1806.65,1774.59,215.689,1717.34,1698.32,47.1834,1737.9,1704.1,123.382,1748.36,1710.52,169.104,1703.65,1701.58,59.5361,1861.72,1832.29,85.4628,1922.78,1882.75,278.406,
12,1998.81,1935.1,410.941,1852.23,1813.98,125.216,1866.1,1806.28,459.72,1816.93,1763.96,220.035,1794.63,1755.24,237.328,1710.25,1703.71,3.88415,1911.33,1877.61,234.995,2020.5,1954.15,441.505,
13,2020.31,2012.87,30.047,1909.42,1880.94,270.777,1934.9,1887.84,57.0609,1922.65,1839.87,591.393,1816.66,1799.48,35.4651,1719.98,1703.88,6.73846,1994.88,1937.33,408.945,2060.09,2033.56,100.59,
14,2117.64,2078.57,129.837,1976.01,1932.23,459.422,2022.15,1981.15,182.94,1952.56,1924.61,111.94,1828.57,1814.78,9.6677,1763.37,1735.91,182.632,2058.11,2006.1,170.965,2137.18,2098.59,84.6183,
15,2164.5,2141.59,173.664,2100.55,2027.36,663.005,2076.47,2057.94,116.222,2073.2,2032.37,123.153,1877.78,1858.65,72.9396,1831.48,1797.64,65.3276,2164.16,2093.23,376.638,2193.81,2152.81,379.454,
16,2223.78,2177,431.134,2149.32,2106.22,129.85,2227.82,2151.03,347.168,2147.04,2100.01,304.611,1942.48,1879.59,171.139,1893.87,1868.14,188.021,2187.69,2160.4,96.5303,2259.02,2237.92,232.351,
17,2264.83,2246.81,279.284,2208.06,2188.76,123.295,2284.85,2231.75,97.0525,2201.03,2152.68,180.367,1977.81,1926.62,164.815,1960.15,1953.67,7.59301,2255.76,2193.77,303.311,2370.25,2303.53,175.156,
18,2319.71,2270.96,110.287,2293.47,2252.87,342.535,2326.64,2288.43,142.831,2268.89,2211.62,254.599,2017.16,1988.2,45.0126,2053.37,2041.93,165.681,2333.14,2270.01,275.531,2406.46,2363.79,97.1467,
19,2355.74,2314.06,152.207,2335.9,2295.33,112.229,2405.61,2367.71,233.948,2324.67,2284.06,112.071,2040.65,2014,50.8506,2099.13,2087.41,273.84,2330.81,2314.07,77.0495,2459.1,2416.96,466.246,
20,2374.82,2359.18,25.4812,2393.75,2338.66,219.87,2493.01,2471.31,137.96,2472.16,2371.91,439.211,2087.98,2051.13,269.218,2143.54,2139.12,155.98,2459.24,2404.77,310.237,2530.8,2494.22,211.045,
21,2417.09,2391.48,129.522,2456.32,2402.77,335.906,2589.48,2558.3,159.852,2513.7,2457.49,384.049,2161.57,2115.45,268.597,2197.95,2169.96,12.5893,2481.42,2454.59,83.6769,2625.7,2563.27,366.304,
22,2519.98,2470.23,512.581,2487.93,2459.72,79.9854,2649.63,2620.7,282.723,2602.67,2561.96,395.415,2202.24,2185.48,43.0975,2290.32,2262.25,35.0298,2593.39,2518.01,403.968,2677.85,2635.69,155.772,
23,2607.27,2565.16,644.1,2512.51,2474.11,91.2167,2751.32,2696.37,389.691,2628.08,2602.07,81.671,2207.04,2202.53,3.62095,2290.32,2290.32,12.3776,2642.12,2588.11,166.352,2731.65,2702.05,82.1304,
24,2673.66,2618.13,409.422,2555.17,2508.23,299.359,2757.1,2747.75,16.0876,2759.77,2674.23,300.813,2296.54,2244.65,162.316,2290.32,2290.32,12.3776,2681.82,2617.21,204.241,2787.23,2747.05,235.092,
25,2724.82,2683.86,192.613,2591.8,2582.86,-3.61129,2842.04,2809.37,107.532,2799.15,2708.68,328.157,2333.43,2263.27,381.714,2309.63,2308.18,27.8169,2700.04,2663.73,205.101,2845.26,2805.08,385.689,
26,2746.6,2723.27,113.549,2633.11,2602.23,230.129,2915.51,2903.19,34.5156,2801.96,2740.52,195.257,2299.61,2295.81,-17.0511,2361.29,2355.25,244.988,2757.92,2725.51,188.687,2931.53,2902.31,212.821,
27,2764.2,2748.01,9.65017,2671.21,2635.48,218.257,2997.53,2961.52,638.929,2822.45,2783.37,231.432,2307.43,2298.55,24.1304,2395.14,2393.67,-9.0261,2821.1,2798.04,83.4398,2999.95,2956.86,258.648,
28,2856.68,2809.02,321.598,2724.01,2677.56,422.596,3090.09,3047.28,767.254,2866.8,2825.07,121.541,2383.07,2342.42,1028.12,2395.14,2395.14,3.38647,2907.19,2869.49,763.179,3047.53,3036.8,95.9806,
29,2948.83,2897,277.073,2740.36,2727.37,38.5563,3153.15,3104.24,283.347,2904.11,2876.07,161.697,2454.42,2402.86,973.265,2395.14,2395.14,3.38647,2996.7,2940.51,223.474,3156.44,3126.4,197.598,
30,2988.56,2950.13,35.996,2753.88,2741.44,14.2916,3213.99,3164.57,322.463,2956.2,2910.39,338.305,2454.42,2454.42,2.46573,2472.5,2470.95,117.861,3060.72,2998.56,303.575,3228.36,3211.07,158.497,
31,3026.28,2976.22,342.686,2786.5,2747.39,64.8142,3263.71,3224.76,137.432,2997.89,2936.8,223.567,2457.74,2455.8,5.00962,2472.5,2472.5,0.0427245,3122.7,3084,54,3303.07,3265.3,310.025,
32,3074.97,3022.93,659.961,2801.15,2755.17,55.3674,3336.01,3275.13,330.052,3078.12,3005.48,393.204,2486.93,2459.85,20.0135,2472.5,2472.5,0.0427245,3141.45,3115.98,84.5036,3373.24,3337.6,524.922,
33,3126.11,3086.59,175.772,2826.19,2772.27,698.475,3348.15,3325.91,177.992,3075.98,3029.04,169.214,2557.99,2477.44,521.305,2506.62,2496.23,39.6657,3209.29,3177.15,42.2168,3440.81,3375.35,146.478,
34,3143.21,3123.87,24.915,2908.2,2833.73,416.781,3371.06,3343.31,112.75,3128.33,3081.64,324.115,2560.44,2558.14,13.0391,2523.36,2498.55,-5.22648,3248.17,3227.07,113.925,3468.9,3459.46,95.4273,
35,3216.21,3176.9,158.562,2919.7,2904.97,62.3558,3418.72,3379.73,422.461,3216.03,3147.02,430.046,2647.07,2563.07,166.31,2523.36,2500.11,14.73,3317.61,3260.42,158.277,3489.74,3470.93,-0.473734,
36,3268.77,3256.52,41.3307,3029.82,2959.9,185.225,3480.29,3446.74,186.172,3243.92,3210.91,122.943,2651.57,2593.58,870.149,2561.73,2525.8,66.2464,3317.61,3289.22,278.409,3505.51,3485.33,45.352,
37,3346.01,3288.44,221.837,3063.15,3009.97,272.533,3569.55,3515.27,418.556,3294.41,3241.49,177.981,2672.52,2641.85,-7.12812,2608.77,2575.38,211.202,3353.99,3318.97,41.8512,3584.93,3524.34,490.479,
38,3329.35,3315.4,34.586,3096.75,3053.8,278.386,3601.24,3582.91,176.804,3336.11,3288.95,243.337,2713.05,2679.41,652.448,2638.8,2624.45,168.454,3432.14,3350.13,674.046,3657.15,3587.83,151.368,
