Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
0,0.29295,0.500542,0.514762,0.562144,0.46857,0.554897,0.526241,0.526982,0.602502,0.415083,0.542249,0.451935,0.468757,0.661857,0.477336,0.437988,0.52984,0.547506,0.494793,0.486133,0.598254,0.418551,0.655506,0.495162,
1,0.302896,0.495925,0.553738,0.504013,0.541708,0.5073,0.517307,0.507599,0.456611,0.437853,0.622786,0.395018,0.409814,0.587582,0.48503,0.390138,0.43091,0.480851,0.482888,0.425025,0.495563,0.410174,0.543853,0.61227,
2,0.302156,0.517559,0.4658,0.432457,0.695821,0.553173,0.773911,0.533773,0.424064,0.801218,0.78153,0.567679,0.351156,0.489893,0.45767,0.155042,0.0135089,0.125478,0.506422,0.482254,0.482359,0.429446,0.412873,0.688626,
3,0.268421,0.512798,0.500697,0.436169,0.696364,0.55254,0.777711,0.511855,0.373874,0.84702,0.78865,0.578264,0.413752,0.578559,0.406102,0.151177,0.00565868,0.114173,0.559091,0.627222,0.546879,0.465968,0.303413,0.73442,
4,0.304141,0.528962,0.446829,0.436213,0.695506,0.552053,0.755533,0.48828,0.411686,0.815672,0.788013,0.543368,0.323131,0.534184,0.482638,0.150029,0.00616168,0.112824,0.561036,0.631672,0.546066,0.500467,0.23296,0.757175,
5,0.318391,0.535405,0.427267,0.43526,0.695523,0.55519,0.736646,0.509924,0.449688,0.757265,0.77742,0.500313,0.402049,0.663117,0.377954,0.15145,0.000764707,0.115134,0.560035,0.629806,0.547262,0.51091,0.2087,0.767341,
6,0.320431,0.535328,0.422337,0.435553,0.695464,0.554094,0.824612,0.553126,0.387202,0.649611,0.760869,0.416903,0.346153,0.577996,0.452902,0.151385,0.0010905,0.115004,0.557139,0.626738,0.551351,0.510651,0.207111,0.766837,
7,0.319568,0.535414,0.423067,0.435244,0.696122,0.556033,0.82458,0.583575,0.397188,0.719264,0.771845,0.469291,0.404281,0.638489,0.40091,0.151593,0.00041652,0.130916,0.559816,0.627739,0.55153,0.511677,0.199227,0.766658,
8,0.317446,0.538629,0.431539,0.434978,0.695652,0.552782,0.910815,0.557465,0.320521,0.80572,0.785816,0.534222,0.34345,0.619246,0.488195,0.151414,0.000768357,0.133129,0.554563,0.622064,0.553146,0.510183,0.194402,0.76638,
9,0.317617,0.541622,0.438834,0.43595,0.696834,0.550249,0.917116,0.551135,0.312945,0.880574,0.798552,0.595213,0.246097,0.448699,0.622956,0.158037,0.000906202,0.133608,0.557355,0.622684,0.554384,0.507949,0.193415,0.76612,
