Index of Gen, I#1: Average Value of Gen, I#2: Average Value of Gen, I#3: Average Value of Gen, I#4: Average Value of Gen, I#5: Average Value of Gen, I#6: Average Value of Gen, I#7: Average Value of Gen, I#8: Average Value of Gen, 
0,537.673,536.306,488.131,543.15,533.408,473.807,562.85,526.796,
1,785.796,811.669,741.044,740.032,788.62,788.426,806.395,818.572,
2,978.888,1002.48,884.472,869.885,902.264,972.326,990.337,988.421,
3,1151.96,1123.96,975.096,1024.85,1001.85,1143.97,1147.17,1129.38,
4,1274.64,1238.31,1072.61,1158.78,1128.62,1283.04,1262.58,1233.33,
5,1342.17,1369.46,1160.12,1248.56,1249.74,1367.18,1356.97,1360.11,
6,1419.85,1437.56,1265.04,1339.23,1321,1462.53,1449.28,1470.37,
7,1512.45,1530.37,1348.52,1419.78,1412.3,1553.49,1536.25,1548.53,
8,1595.93,1596.75,1422.65,1505.95,1496,1567.26,1624.1,1661.13,
9,1684.13,1652.07,1515.06,1562.15,1580.29,1620.85,1690.3,1776.1,
10,1782.03,1710.96,1611.79,1634.28,1668.37,1674.19,1768.01,1826.49,
11,1843.14,1774.59,1698.32,1704.1,1710.52,1701.58,1832.29,1882.75,
12,1935.1,1813.98,1806.28,1763.96,1755.24,1703.71,1877.61,1954.15,
13,2012.87,1880.94,1887.84,1839.87,1799.48,1703.88,1937.33,2033.56,
14,2078.57,1932.23,1981.15,1924.61,1814.78,1735.91,2006.1,2098.59,
15,2141.59,2027.36,2057.94,2032.37,1858.65,1797.64,2093.23,2152.81,
16,2177,2106.22,2151.03,2100.01,1879.59,1868.14,2160.4,2237.92,
17,2246.81,2188.76,2231.75,2152.68,1926.62,1953.67,2193.77,2303.53,
18,2270.96,2252.87,2288.43,2211.62,1988.2,2041.93,2270.01,2363.79,
19,2314.06,2295.33,2367.71,2284.06,2014,2087.41,2314.07,2416.96,
20,2359.18,2338.66,2471.31,2371.91,2051.13,2139.12,2404.77,2494.22,
21,2391.48,2402.77,2558.3,2457.49,2115.45,2169.96,2454.59,2563.27,
22,2470.23,2459.72,2620.7,2561.96,2185.48,2262.25,2518.01,2635.69,
23,2565.16,2474.11,2696.37,2602.07,2202.53,2290.32,2588.11,2702.05,
24,2618.13,2508.23,2747.75,2674.23,2244.65,2290.32,2617.21,2747.05,
25,2683.86,2582.86,2809.37,2708.68,2263.27,2308.18,2663.73,2805.08,
26,2723.27,2602.23,2903.19,2740.52,2295.81,2355.25,2725.51,2902.31,
27,2748.01,2635.48,2961.52,2783.37,2298.55,2393.67,2798.04,2956.86,
28,2809.02,2677.56,3047.28,2825.07,2342.42,2395.14,2869.49,3036.8,
29,2897,2727.37,3104.24,2876.07,2402.86,2395.14,2940.51,3126.4,
30,2950.13,2741.44,3164.57,2910.39,2454.42,2470.95,2998.56,3211.07,
31,2976.22,2747.39,3224.76,2936.8,2455.8,2472.5,3084,3265.3,
32,3022.93,2755.17,3275.13,3005.48,2459.85,2472.5,3115.98,3337.6,
33,3086.59,2772.27,3325.91,3029.04,2477.44,2496.23,3177.15,3375.35,
34,3123.87,2833.73,3343.31,3081.64,2558.14,2498.55,3227.07,3459.46,
35,3176.9,2904.97,3379.73,3147.02,2563.07,2500.11,3260.42,3470.93,
36,3256.52,2959.9,3446.74,3210.91,2593.58,2525.8,3289.22,3485.33,
37,3288.44,3009.97,3515.27,3241.49,2641.85,2575.38,3318.97,3524.34,
38,3315.4,3053.8,3582.91,3288.95,2679.41,2624.45,3350.13,3587.83,
39,3331.74,3100.4,3629.46,3318.25,2713.1,2701.19,3403.97,3645.27,
40,3369.88,3147.29,3679.62,3353.2,2720.28,2707.69,3442.75,3662.31,
41,3390.92,3195.21,3722.39,3407.64,2745.9,2734.5,3524.96,3707.26,
42,3417.28,3225.96,3746.11,3456.82,2786.3,2788.42,3592.06,3735.06,
43,3451.58,3258.79,3803.94,3499.63,2791.09,2870.05,3652.37,3735.93,
44,3451.69,3288.92,3871.44,3548.04,2819.69,2935.99,3702.55,3758.5,
45,3460.23,3311.57,3915.61,3574.85,2890.46,2939.37,3722.55,3798.01,
46,3501.58,3343,3994.91,3615.31,2896.98,3026.36,3736.06,3863.09,
47,3544.14,3367.42,4056.38,3658.14,2901.08,3027.85,3742.59,3896.6,
48,3560.3,3379.53,4116.12,3695.93,2907.63,3027.85,3784.62,3923.51,
49,3591.78,3405.33,4124.87,3725.09,2956.24,3050.26,3820.74,3967.06,
50,3638.85,3443.07,4146.38,3756.38,3029.91,3052.75,3836.11,4018.75,
51,3669.46,3518.46,4198.84,3803.15,3044.13,3052.75,3893.18,4056.91,
52,3707.17,3554.92,4203.55,3832.12,3059.1,3052.75,3929.35,4058.16,
53,3736.34,3594.38,4223.17,3877.32,3077.14,3052.75,3968.38,4114.11,
54,3750.81,3629.81,4251.18,3917.56,3105.19,3052.75,4012.9,4145.33,
