Index of Gen, I#1: Average Value of Gen, I#2: Average Value of Gen, I#3: Average Value of Gen, I#4: Average Value of Gen, I#5: Average Value of Gen, I#6: Average Value of Gen, I#7: Average Value of Gen, I#8: Average Value of Gen, I#9: Average Value of Gen, I#10: Average Value of Gen, 
0,458.422,344.077,430.077,409.763,370.26,317.483,588.981,461.016,491.567,524.34,
1,746.624,714.352,663.775,645.264,638.903,321.532,597.734,400.293,742.906,719.071,
2,921.342,864.137,792.005,796.735,784.119,425.471,844.331,551.265,874.152,833.813,
3,944.971,958.929,861.891,897.932,907.713,543.76,973.03,656.358,986.916,907.813,
4,944.971,1034.74,920.042,993.76,1006.65,646.257,1077.93,762.039,1098.71,1041.32,
5,944.971,1114.8,1042.77,1076.02,1091.4,741.855,1172.11,839.778,1161.75,1132.4,
6,944.971,1160.14,1103.25,1163.56,1201.75,851.763,1297.64,945.04,1253.97,1184.38,
7,944.971,1211.08,1134.82,1219.65,1280.53,945.667,1371.87,1028.98,1324.62,1240.08,
8,944.971,1255.8,1180.05,1325.55,1366.76,982.909,1429.73,1101.86,1379.28,1293.64,
9,944.971,1282.83,1216.99,1418.49,1443.31,1063.97,1477.28,1170.33,1438.85,1299.38,
10,944.971,1369.4,1260.91,1431.58,1507.09,1144.32,1541.35,1248.01,1498.19,1334.68,
11,944.971,1401.62,1356.62,1471.02,1568.81,1205.06,1603.95,1297.26,1519.8,1403.12,
12,944.971,1475.34,1430.12,1493.24,1624.63,1277.78,1639.22,1399.26,1585.54,1461.88,
13,944.971,1561.99,1506.91,1552.57,1695.82,1363.75,1691.37,1485,1645.42,1517.83,
14,944.971,1570.72,1515.84,1612.32,1769.94,1431.91,1765.64,1533.46,1717.27,1587.92,
15,944.971,1648.76,1540.85,1699.14,1800.99,1490.54,1805.94,1568.84,1762.63,1622.86,
16,944.971,1736.48,1596.63,1777.56,1863.6,1578.46,1874.68,1598.9,1810.19,1676.6,
17,944.971,1741.18,1651.84,1817.37,1905.95,1659.66,1915.35,1624.93,1846.71,1700.63,
18,944.971,1831.92,1734.87,1868.38,1947.05,1712.37,1927.63,1662.65,1915.37,1720.92,
19,944.971,1832.55,1749.05,1931.96,1997.63,1768.85,1959.53,1740.79,1992.57,1753.33,
20,944.971,1832.95,1799.03,1987.39,2051.16,1841.91,1987.1,1795.16,2038.93,1809.45,
21,944.971,1834.92,1857.98,2013.75,2087.01,1868.42,2052.87,1833.57,2107.07,1834.63,
22,944.971,1844.2,1914.93,2028.23,2114.32,1883.76,2113.33,1902.14,2135.8,1871.49,
23,944.971,1908.12,1957.33,2106.98,2138.8,1891.79,2172.97,1936.73,2153.59,1969.35,
24,944.971,1913.4,1973.43,2180.33,2143.13,1919.38,2241.86,1975.71,2203.41,2011.09,
25,944.971,1913.71,1984.55,2218.76,2151.9,1972.25,2288.22,2012.61,2273.11,2054.55,
26,944.971,1922.78,2047.67,2296.78,2179.16,2016.85,2314.72,2043.25,2297.37,2073.91,
27,944.971,1933.94,2051,2340.43,2217.28,2074.56,2385.12,2094.37,2342,2119.41,
28,944.971,1972.65,2051,2398.24,2253.99,2102.73,2403.13,2179.21,2377.4,2134.69,
29,944.971,2024.39,2051,2423.57,2282.74,2128.42,2440.08,2234.85,2410.16,2148.3,
30,944.971,2051.72,2051,2467.33,2307.99,2147.24,2475.29,2268.1,2441.57,2185.06,
31,944.971,2051.72,2051,2533.91,2333.29,2177.49,2525.35,2314.32,2455.9,2207.51,
32,944.971,2051.72,2051,2566.42,2401.13,2231.71,2570.65,2373.94,2485.02,2235.84,
33,944.971,2051.72,2052.52,2596.79,2401.13,2294.09,2630.44,2397.42,2509.68,2265.72,
34,944.971,2051.72,2094.98,2670.12,2449.26,2343.06,2659.59,2456.53,2564.37,2292.98,
35,944.971,2051.72,2123.72,2742.71,2494.92,2357.3,2696.65,2489.28,2627.16,2307.93,
36,944.971,2051.72,2162.23,2772.71,2510.46,2393.02,2711.08,2557.26,2651.34,2354.99,
37,944.971,2051.72,2231.09,2773.25,2552.48,2447.88,2743.44,2645.01,2700.39,2411.64,
38,944.971,2051.72,2273.39,2791.25,2657.72,2470.89,2796.21,2699.27,2745.29,2425.68,
39,944.971,2051.72,2350.64,2846.28,2706.93,2480.48,2881.26,2799.42,2810.69,2453.52,
40,944.971,2052.6,2406.29,2888.11,2744.44,2503.39,2918.93,2874.35,2833.37,2533.21,
41,944.971,2054.77,2477.35,2913.52,2818.37,2520.21,2955.17,2892.77,2846.63,2562.45,
42,944.971,2065.97,2482.06,2997.49,2880.46,2557.78,3014.11,2914.58,2870.06,2578.98,
43,944.971,2124.88,2482.91,3054.73,2884.83,2611.36,3019.35,2991.24,2903.34,2583.45,
44,944.971,2151.18,2509.35,3055.48,2884.83,2647.99,3038.16,3046.81,2921.75,2572.33,
45,944.971,2180.85,2585.41,3059.21,2884.83,2665.29,3114.45,3098.12,2953.14,2574.27,
46,944.971,2188.77,2637.97,3073.79,2884.83,2707.63,3135.22,3103.83,2979.8,2593.74,
47,944.971,2232.33,2665.53,3110.9,2884.83,2720.09,3165.29,3119.11,2994.61,2607.51,
48,944.971,2265.65,2696.71,3178.41,2884.83,2759.02,3173.44,3190.65,3019.98,2635.81,
49,944.971,2266.59,2710.02,3217.23,2899.89,2796.19,3198.09,3230.19,3021.41,2655.56,
50,944.971,2276.03,2748.32,3244.66,2922.48,2839.95,3274.36,3241.7,3025.92,2678.14,
51,944.971,2277.37,2786.25,3324.21,2945.25,2883.5,3314.34,3268.13,3041.26,2695.41,
52,944.971,2281.79,2863.34,3371.15,2975.55,2912.88,3355.09,3305.05,3083.86,2697.52,
53,944.971,2324.23,2902.04,3371.48,3021.6,2950.94,3386.74,3343.93,3094.15,2719.28,
54,944.971,2324.23,2940.85,3394.97,3069.38,2987.84,3435.48,3408.23,3105.14,2721.07,
55,944.971,2324.23,2972.95,3445.53,3073.56,3013.54,3519.61,3459.52,3154.97,2745.79,
56,944.971,2352.64,2975.73,3507.95,3078.21,3093.9,3558.67,3479.39,3180.36,2791.23,
57,944.971,2365.95,2979.38,3584.14,3078.23,3116.65,3579.68,3535.68,3219.59,2819.13,
58,944.971,2400.07,2981.51,3594.51,3078.23,3143.7,3602.01,3575.81,3239.02,2841.02,
59,944.971,2453.8,2981.51,3607.08,3078.23,3168.63,3583.72,3601.36,3291.7,2829.87,
60,944.971,2453.8,2981.14,3610.79,3078.23,3203.66,3622.58,3638.62,3289.02,2822.49,
61,944.971,2453.8,2981.14,3657.98,3078.27,3205.73,3666.33,3690.56,3335.12,2875.22,
62,944.971,2454.43,2981.38,3657.98,3078.23,3208.61,3706.74,3737.25,3346.84,2892.2,
63,944.971,2471.15,2989.07,3660.56,3078.23,3213.17,3746.74,3782.85,3349.89,2927.77,
64,944.971,2491.53,2997.22,3665.03,3078.23,3240.86,3799.62,3816.48,3375.87,2957.4,
65,944.971,2491.53,3000.05,3668.65,3081.7,3255.76,3811.56,3827.24,3369.91,2967.96,
66,944.971,2557.13,3000.05,3695.61,3082.38,3272.3,3833.43,3827.28,3370.83,3028.55,
67,944.971,2646.48,3027.61,3723.33,3143.35,3299.92,3862.83,3827.24,3377.55,3050.18,
68,944.971,2646.48,3041.56,3723.33,3151.25,3314.89,3922.71,3827.24,3407.16,3058.21,
69,944.971,2646.48,3041.56,3723.33,3154.07,3324.34,3936.61,3827.95,3395.36,3090.73,
70,944.971,2646.48,3041.56,3723.33,3191.81,3355.96,3968.64,3834.75,3417.15,3104.43,
71,944.971,2646.48,3041.56,3723.33,3250.32,3390.75,3994.67,3838.77,3403.99,3122.31,
72,944.971,2646.48,3041.56,3723.33,3274.79,3400.47,3995.17,3853.53,3409.15,3122.78,
73,944.971,2646.48,3041.56,3723.33,3303.39,3423.26,3983.73,3858.29,3425.46,3160.53,
74,944.971,2646.48,3058.71,3724.13,3345.29,3472.22,3960.75,3890.01,3416.04,3180.83,
75,944.971,2646.48,3066.96,3730.02,3362.69,3542.86,3960.75,3906.15,3413.54,3188.4,
76,944.971,2646.96,3069.04,3773.19,3383.85,3569.81,3961.13,3938.21,3412.96,3229.71,
77,944.971,2646.48,3088.24,3803.85,3408.52,3594.6,3968.04,3949.14,3433.72,3250.7,
78,944.971,2646.48,3167.6,3827.13,3449.9,3604.91,3972.3,3940.53,3437.18,3276.36,
79,944.971,2646.48,3195.74,3857.35,3480.89,3604.91,3970.83,3954.55,3432.29,3317.51,
80,944.971,2646.48,3195.74,3893.36,3544.01,3604.91,3972.02,3969.83,3427.04,3342.66,
81,944.971,2647.11,3195.74,3919.06,3616.77,3605.02,3970.83,3981.57,3427.31,3351.04,
82,944.971,2664.54,3195.74,3919.89,3648.31,3606.88,3971.03,3995.59,3451.79,3358.54,
83,944.971,2702.85,3195.74,3932.76,3682.99,3609.56,3975.01,4029.91,3486.51,3339.04,
