Index of Gen, I#1: Max Value of Gen, I#1: Average Value, I#1: Standard Deviation of Value, I#2: Max Value of Gen, I#2: Average Value, I#2: Standard Deviation of Value, I#3: Max Value of Gen, I#3: Average Value, I#3: Standard Deviation of Value, I#4: Max Value of Gen, I#4: Average Value, I#4: Standard Deviation of Value, I#5: Max Value of Gen, I#5: Average Value, I#5: Standard Deviation of Value, I#6: Max Value of Gen, I#6: Average Value, I#6: Standard Deviation of Value, I#7: Max Value of Gen, I#7: Average Value, I#7: Standard Deviation of Value, I#8: Max Value of Gen, I#8: Average Value, I#8: Standard Deviation of Value, I#9: Max Value of Gen, I#9: Average Value, I#9: Standard Deviation of Value, I#10: Max Value of Gen, I#10: Average Value, I#10: Standard Deviation of Value, 
0,740.759,458.422,12369.9,713.618,344.077,36520.3,789.267,430.077,27222.3,684.749,409.763,19761.5,720.138,370.26,22713.7,422.54,317.483,6051.34,984.708,588.981,36908.2,648.96,461.016,9306.88,911.038,491.567,21683.9,761.96,524.34,8133.39,
1,944.971,746.624,2712.14,829.862,714.352,1979.78,781.432,663.775,2524.68,729.182,645.264,1706.4,744.293,638.903,1489.8,411.614,321.532,2653.12,984.708,597.734,20151.2,522.867,400.293,3423.74,888.614,742.906,1448.11,788.49,719.071,603.151,
2,944.971,921.342,297.706,877.431,864.137,64.6923,823.26,792.005,217.062,836.835,796.735,229.648,846.542,784.119,763.728,464.967,425.471,474.957,931.375,844.331,735.313,582.413,551.265,271.641,923.619,874.152,430.291,885.161,833.813,404.276,
3,944.971,944.971,0.528794,992.749,958.929,84.8693,882.109,861.891,41.8703,916.201,897.932,107.783,973.117,907.713,321.036,595.646,543.76,317.251,1043.52,973.03,349.868,716.211,656.358,313.86,1054.91,986.916,397.225,959.521,907.813,250.337,
4,944.971,944.971,0.528794,1106.58,1034.74,231.679,994.04,920.042,780.582,1025.88,993.76,90.1828,1034.88,1006.65,336.078,687.51,646.257,257.02,1122.67,1077.93,389.437,790.839,762.039,105.554,1178.66,1098.71,646.878,1126.02,1041.32,887.184,
5,944.971,944.971,0.528794,1116.39,1114.8,7.78833,1073,1042.77,584.699,1082.06,1076.02,31.8454,1129.54,1091.4,256.056,795.924,741.855,303.697,1217.45,1172.11,276.432,890.322,839.778,348.018,1220.81,1161.75,313.211,1195.03,1132.4,469.542,
6,944.971,944.971,0.528794,1180.62,1160.14,381.749,1133.93,1103.25,367.202,1194.19,1163.56,52.3763,1277.21,1201.75,441.557,901.803,851.763,273.873,1337.31,1297.64,194.688,988.469,945.04,476.483,1289.22,1253.97,180.879,1229.39,1184.38,201.334,
7,944.971,944.971,0.528794,1238.16,1211.08,50.28,1148.18,1134.82,8.48711,1237.36,1219.65,116.815,1291.6,1280.53,29.2783,972.157,945.667,141.752,1410.29,1371.87,183.811,1080.99,1028.98,438.712,1392.26,1324.62,432.476,1285.22,1240.08,328.594,
8,944.971,944.971,0.528794,1282.56,1255.8,79.5346,1200.88,1180.05,668.292,1329.73,1325.55,4.16769,1370.31,1366.76,14.0459,1000.79,982.909,52.3319,1459.65,1429.73,215.181,1195.25,1101.86,770.526,1433.14,1379.28,385.284,1323.04,1293.64,136.277,
9,944.971,944.971,0.528794,1293.51,1282.83,4.06076,1245.44,1216.99,88.4377,1425.47,1418.49,33.6988,1456.17,1443.31,75.9476,1098.05,1063.97,216.249,1530.07,1477.28,464.788,1198.46,1170.33,277.133,1497.16,1438.85,532.265,1335.45,1299.38,135.73,
10,944.971,944.971,0.528794,1380.22,1369.4,590.934,1301.4,1260.91,621.093,1475.76,1431.58,155.22,1538.65,1507.09,478.373,1181.89,1144.32,204.052,1576.9,1541.35,189.013,1307.79,1248.01,442.961,1549.89,1498.19,408.336,1400.33,1334.68,357.26,
11,944.971,944.971,0.528794,1451.95,1401.62,64.3129,1386.08,1356.62,377.031,1477.48,1471.02,3.91177,1597.4,1568.81,389.203,1254.76,1205.06,705.484,1648.32,1603.95,564.906,1355.04,1297.26,312.376,1550.97,1519.8,138.399,1476.9,1403.12,860.579,
12,944.971,944.971,0.528794,1554.39,1475.34,261.985,1466.95,1430.12,590.778,1524.29,1493.24,66.467,1648.84,1624.63,216.727,1301.47,1277.78,156.826,1655.58,1639.22,63.188,1469.17,1399.26,855.184,1650.79,1585.54,642.333,1505.98,1461.88,393.993,
13,944.971,944.971,0.528794,1564.87,1561.99,22.9525,1515.8,1506.91,8.37474,1601.65,1552.57,390.279,1743.42,1695.82,327.404,1401.22,1363.75,536.983,1743.36,1691.37,290.416,1533.46,1485,648.3,1712.96,1645.42,449.289,1552.61,1517.83,203.622,
14,944.971,944.971,0.528794,1638.55,1570.72,330.844,1597.7,1515.84,190.828,1622.37,1612.32,63.5236,1804.68,1769.94,210.172,1444.76,1431.91,140.986,1809.02,1765.64,234.527,1533.46,1533.46,-1.84231,1751.96,1717.27,117.612,1648.79,1587.92,531.039,
15,944.971,944.971,0.528794,1736.47,1648.76,786.443,1597.7,1540.85,590.477,1784.28,1699.14,229.804,1818.11,1800.99,96.7524,1556.88,1490.54,641.139,1841.15,1805.94,108.805,1610.74,1568.84,597.74,1799.85,1762.63,240.13,1665.26,1622.86,125.25,
16,944.971,944.971,0.528794,1736.47,1736.48,-3.46056,1612.04,1596.63,40.2541,1784.28,1777.56,47.8131,1909.28,1863.6,103.726,1655.07,1578.46,628.632,1931.96,1874.68,350.892,1642.42,1598.9,281.076,1841.76,1810.19,190.358,1716.31,1676.6,375.997,
17,944.971,944.971,0.528794,1741.18,1741.18,-1.80621,1688.44,1651.84,1221.73,1850.73,1817.37,820.458,1923.12,1905.95,46.8385,1702.79,1659.66,263.768,1949.41,1915.35,114.189,1683.92,1624.93,348.886,1897.08,1846.71,312.829,1717.82,1700.63,58.1757,
18,944.971,944.971,0.528794,1832.53,1831.92,2.42969,1747.72,1734.87,106.024,1884.49,1868.38,160.767,1970.7,1947.05,437.593,1751.6,1712.37,168.737,1948.63,1927.63,104.417,1684.84,1662.65,158.235,1962.9,1915.37,258.74,1756.8,1720.92,117.862,
19,944.971,944.971,0.528794,1833.14,1832.55,2.10873,1753.05,1749.05,5.01058,1955.48,1931.96,169.021,2044.52,1997.63,925.974,1808.25,1768.85,487.149,1988.45,1959.53,284.734,1784.8,1740.79,348.965,2046.84,1992.57,316.483,1817.51,1753.33,640.295,
20,944.971,944.971,0.528794,1848.59,1832.95,8.89897,1844.72,1799.03,221.325,2012.92,1987.39,261.912,2096,2051.16,441.037,1872.25,1841.91,87.4181,2017.47,1987.1,132.405,1823.06,1795.16,230.362,2103.58,2038.93,614.909,1832.77,1809.45,100.529,
21,944.971,944.971,0.528794,1876.59,1834.92,73.1187,1894.04,1857.98,131.333,2017.83,2013.75,6.3706,2096,2087.01,232.01,1881.75,1868.42,144.742,2090.03,2052.87,171.742,1861.9,1833.57,235.346,2119.46,2107.07,19.2944,1854.79,1834.63,74.8698,
22,944.971,944.971,0.528794,1898.19,1844.2,395.288,1954.97,1914.93,306.997,2035.31,2028.23,64.0942,2126.16,2114.32,105.454,1899.39,1883.76,14.6029,2141.01,2113.33,176.396,1944.91,1902.14,334.831,2194.27,2135.8,897.323,1936.67,1871.49,281.398,
23,944.971,944.971,0.528794,1915.04,1908.12,41.6648,1984.55,1957.33,48.6358,2172.46,2106.98,318.736,2145.89,2138.8,0.907767,1944.47,1891.79,110.414,2242.18,2172.97,321.53,1967.84,1936.73,129.358,2184.82,2153.59,191.702,2059.84,1969.35,738.519,
24,944.971,944.971,0.528794,1913.4,1913.4,-0.890538,1984.55,1973.43,74.2103,2188.66,2180.33,34.3797,2145.89,2143.13,10.4802,1952.35,1919.38,136.955,2280.27,2241.86,476.407,2015.2,1975.71,516.083,2271.51,2203.41,764.835,2072.27,2011.09,383.156,
25,944.971,944.971,0.528794,1925.74,1913.71,2.33705,1984.55,1984.55,-2.97376,2225.99,2218.76,82.8523,2212.94,2151.9,132.151,2060.14,1972.25,528.096,2299.95,2288.22,74.2235,2061.53,2012.61,319.004,2353.24,2273.11,297.929,2132.94,2054.55,564.049,
26,944.971,944.971,0.528794,1931.94,1922.78,29.2035,2051,2047.67,35.8926,2310.32,2296.78,217.076,2212.94,2179.16,409.718,2079.58,2016.85,434.387,2373.81,2314.72,744.764,2070.48,2043.25,232.984,2333.3,2297.37,315.641,2138.84,2073.91,594.328,
27,944.971,944.971,0.528794,1934.9,1933.94,3.02457,2051,2051,-1.49854,2354.44,2340.43,13.3062,2241.85,2217.28,106.346,2115.09,2074.56,258.797,2450.02,2385.12,268.697,2156.92,2094.37,497.654,2433.39,2342,618.728,2161.79,2119.41,275.578,
28,944.971,944.971,0.528794,1982.09,1972.65,356.605,2051,2051,-1.49854,2422.22,2398.24,455.739,2283.86,2253.99,79.7274,2122.23,2102.73,104.202,2447.86,2403.13,263.367,2240.81,2179.21,571.113,2439.6,2377.4,260.113,2214.2,2134.69,316.989,
29,944.971,944.971,0.528794,2040.49,2024.39,615.384,2051,2051,-1.49854,2429.59,2423.57,1.1896,2305.71,2282.74,142.418,2147.68,2128.42,166.99,2462.47,2440.08,57.3926,2273.01,2234.85,107.683,2471.47,2410.16,533.021,2207.46,2148.3,341.939,
30,944.971,944.971,0.528794,2051.72,2051.72,-2.82729,2051,2051,-1.49854,2488.86,2467.33,373.286,2355.16,2307.99,78.7283,2159.6,2147.24,10.3935,2542.03,2475.29,363.014,2282.47,2268.1,61.8723,2471.47,2441.57,163.833,2222.03,2185.06,252.678,
31,944.971,944.971,0.528794,2051.72,2051.72,-2.82729,2051,2051,-1.49854,2540.78,2533.91,46.1592,2368.36,2333.29,500.905,2207.76,2177.49,77.2792,2565.45,2525.35,343.452,2393.9,2314.32,663.821,2492.24,2455.9,109.466,2262.87,2207.51,238.414,
