Index of Gen, I#1: Average Value of Gen, I#2: Average Value of Gen, I#3: Average Value of Gen, I#4: Average Value of Gen, 
0,458.422,257.926,426.988,338.037,
1,709.117,560.255,627.341,613.568,
2,861.082,740.808,764.486,763.495,
3,986.859,872.74,876.021,769.713,
4,1087.69,946.705,959.222,769.713,
5,1155.06,1018.09,1121.43,769.713,
6,1212.22,1113.07,1191.29,769.713,
7,1249.92,1224.77,1271.82,769.713,
8,1276.56,1309.52,1324.67,769.713,
9,1282.6,1352.44,1344.48,769.713,
10,1292.08,1424.81,1393.67,769.713,
11,1309.61,1499.49,1454.01,769.713,
12,1309.32,1554.71,1526.56,769.713,
13,1314.15,1626.2,1588.23,769.713,
14,1321.38,1678.04,1598.19,769.713,
15,1325.12,1725.6,1605.03,769.713,
16,1332.58,1748.63,1658.11,769.713,
17,1329.22,1801.95,1669.19,769.713,
18,1315.08,1857.74,1721.35,769.713,
19,1318.44,1936.07,1778.79,769.713,
20,1307.4,2001.45,1839.89,769.713,
21,1306.58,2075.57,1869.2,769.713,
22,1322.53,2112.55,1874.92,769.713,
23,1326.84,2144.31,1923.27,769.713,
24,1337.79,2210.34,1994.47,769.713,
25,1334.79,2245.59,2007.07,769.713,
26,1343.33,2278.07,2008.82,769.713,
27,1339.7,2343.46,2028.7,769.713,
28,1328.36,2372.85,2051.17,769.713,
29,1331.59,2419.2,2076.5,769.713,
30,1333.72,2457.65,2102.04,769.713,
31,1332.46,2508.45,2108.18,769.713,
32,1336.62,2548.33,2177.86,769.713,
33,1333.12,2612.08,2245.87,769.713,
34,1336.92,2700.28,2278.88,769.713,
35,1339.76,2713.29,2278.88,769.713,
36,1337.99,2715.45,2283.41,769.713,
37,1326.89,2717.14,2305.15,769.713,
38,1325.51,2721.67,2321.02,769.713,
39,1319.57,2722.24,2416.59,769.713,
40,1331.32,2775.26,2466.32,769.713,
41,1338.5,2819.04,2505.53,769.713,
42,1344.72,2879.53,2581.4,769.713,
43,1345.76,2914.48,2601.73,769.713,
44,1342.83,2936.61,2700.37,769.713,
45,1349.87,2941.27,2792.13,769.713,
46,1349.55,2943.48,2872.63,769.713,
47,1349.35,2969.68,2901.49,769.713,
48,1348.32,2990.15,2939.15,769.713,
49,1338.9,3009.16,2939.15,769.713,
50,1342.87,3026.61,2939.15,769.713,
51,1337.35,3047.57,2939.15,769.713,
52,1328.83,3084.97,2939.15,769.713,
