Index of Gen, Max Value of Gen, Average Value of Gen, Max nb of items / bag, Avg nb of items / bag
0,405.705,324.042,10,7
1,547.933,447.138,10,7.85
2,631.008,566.266,10,8.8
3,658.676,648.849,10,9
4,730.465,720.952,11,9.8
5,759.241,751.336,12,11.1
6,799.484,784.411,12,11.3
7,925.029,852.238,13,11.3
8,937.938,929.547,13,12.15
9,951.541,938.619,14,12.15
10,1029.75,970.562,13,12.9
11,1094.21,1030.18,14,13
12,1121.39,1105.48,15,13.5
13,1159.7,1123.31,15,14
14,1169.31,1128.78,15,14.35
15,1169.31,1150.93,16,14.75
16,1194.5,1179.38,17,15.4
17,1194.5,1194.5,17,16
18,1194.5,1194.5,17,16.1
19,1219.9,1217.36,18,16.85
20,1219.9,1219.9,18,17.2
21,1230.61,1230.08,18,17.95
22,1230.61,1230.61,18,17.9
23,1251.77,1248.6,19,17.95
24,1308.32,1299.84,18,18
25,1308.32,1308.32,18,17.85
26,1308.32,1308.32,19,18.05
27,1308.32,1308.32,19,18.05
28,1317.92,1308.8,19,18.1
29,1380.98,1372.23,20,19.1
30,1380.98,1380.98,20,19.05
31,1477.67,1463.23,21,19.8
32,1501.68,1501.68,20,19.9
33,1501.68,1501.68,21,19.95
34,1501.68,1501.68,21,19.95
35,1511.07,1502.15,21,19.9
36,1527.52,1516.84,22,20.85
37,1574.4,1570.28,23,21.75
38,1632.81,1617.02,24,22.75
39,1644.34,1644.34,24,23.1
40,1644.34,1644.34,24,22.95
41,1661.32,1649.47,24,22.95
42,1682.21,1677.53,23,22.05
43,1682.21,1682.21,22,22
44,1682.21,1682.21,23,22.1
45,1733.87,1729.54,24,23
46,1745.58,1742.65,23,22.9
47,1745.58,1745.58,24,23.05
48,1745.58,1745.58,24,23
49,1745.58,1745.58,23,22.9
50,1745.58,1745.58,24,23.05
51,1745.58,1745.58,24,23.1
52,1745.58,1745.58,24,22.95
53,1751.83,1750.89,24,22.95
54,1832.7,1824.61,24,23.7
55,1850.2,1850.2,24,23.95
56,1850.2,1850.2,25,24
57,1850.2,1850.2,25,23.95
58,1850.2,1850.2,24,23.9
59,1850.2,1850.2,25,23.95
60,1850.2,1850.2,24,23.9
61,1850.2,1850.2,24,23.9
62,1850.2,1850.2,25,24.3
63,1850.6,1850.58,26,24.9
64,1850.6,1850.6,26,25
65,1850.6,1850.6,26,25.1
66,1850.6,1850.6,26,25
67,1850.6,1850.6,26,25.1
68,1850.6,1850.6,26,25.05
69,1850.6,1850.6,26,24.95
70,1887.85,1852.46,26,25.1
71,1887.85,1885.39,26,24.9
72,1887.85,1887.85,26,25.1
73,1912.41,1911.21,26,24.5
74,1912.41,1912.41,25,24.1
75,1938.06,1913.69,25,24
76,1938.06,1913.69,25,24.2
77,1938.06,1913.69,25,24
78,1938.06,1913.69,25,23.95
79,1938.06,1913.69,25,23.95
80,1937.82,1913.68,25,24
81,1937.82,1915.32,25,24.15
82,1995.51,1944.29,26,24.5
83,1995.51,1995.51,26,25.05
84,1995.51,1995.51,25,24.95
85,1995.51,1995.51,26,25.05
86,1995.51,1995.51,26,25
87,1995.51,1995.51,25,24.75
88,2072.66,2017.28,25,24.85
89,2072.66,2060.74,26,24.85
90,2072.66,2072.66,26,25.1
91,2072.66,2072.66,26,25
92,2097.17,2094.71,26,25.05
93,2097.17,2097.16,26,25.2
94,2157.68,2117.57,27,25.95
95,2198.29,2187.01,28,26.65
96,2260.8,2260.8,28,26.95
97,2260.8,2260.8,27,26.9
98,2276.41,2275.34,28,26.85
99,2281.31,2279.84,27,26.4
